PROMPT,AUTHOR,StyleTunedLM,FEW_SHOT_BASELINE,INSTRUCT_BASELINE
"It is easy to judge what must be","Samuel Richardson","It is easy to judge what must be your sentiments upon the receipt of this letter; yet as I am not willing, with all my soul, that you should think the worst I am capable of, let me assure you again, in one word, that, if you will but take time and leisure to consider well on both sides, you may hope for a happy reconciliation. Your father's pardoning temper has, at present, made him soft and good-natured: his good nature is your greatest enemy--for so much it is now become to you. He knows no other way to revenge himself for my ill treatment than by acting handsomely towards you: he is a man of honour; and I hope will never suffer himself to be abused any more in that manner, nor by any other person. And how far his forgiving and generous conduct will prevail, I cannot say: but this I know, that I have done every thing that can be reasonably expected from me; and that I have given you a full, free, and fair account of myself, which you can call to mind, when there is occasion. Let me conjure you to do me justice; and not to suppose me so bad as you ought to fear.","It is easy to judge what must be the fate of all those poor creatures whom you have corrupted and ruined. Where can they find the support they want, and the protection they stand in need of? The only friends left them are such as themselves have made, and whom they may trust like themselves: The whole sex in general, and your nearest relations in particular, have renounced them, as abandoned profligates. They are in their own power to be made the most odious objects. Their own conscience reproaches them: their own fears haunt them: their apprehensions keep them awake. Yet let me tell you, with truth, that it is the best for society, as well as for individuals, that the crimes you have committed should be generally known. The terror with which they will put their companions on the defensive, and alarm those they approach, cannot but operate to their reformation, and to the preservation of the public peace. The disgrace attending such characters ought to make them feel, that what they do, or suffer, in this state of life, they bring upon themselves, and cannot expect the least indulgence from any who live honestly.","It is easy to judge what must be the sentiments of a young woman, when she is in love; and I will not pretend to dissemble that I do not know what those sentiments are, which my dear Clarissa has expressed in her letter to me. But let us proceed to the perusal of it, and see if there be any thing in it that can give us comfort or satisfaction. 'My dearest friend,' says she, 'I am now on the brink of a precipice, from which there is no retreat; and yet I do not fear it, for I know that you will be with me to the last.' Oh! how often have I thought of this passage, and wished that I could be with her in her distress! But alas! I am not able to assist her, nor can I even bear to think of her in so deplorable a condition. And yet, my dear sir, I must confess to you, that I cannot help feeling a degree of hope, whenever I reflect on the strength of her mind, and the unshaken firmness of her resolutions. She will never yield, I dare say, to any attempts that may be made upon her"
"It is easy to judge what must be","Jane Austen","It is easy to judge what must be the effect on such a man of a sudden, extraordinary, and wonderful success. There was a moment when Captain Wentworth's name had seemed all-powerful; and now it was again quite out of date. In spite of all his own sense, Sir Walter Elliot had been unable to resist the temptation of giving his daughter away to the very first man in Bath who made love to her. This, at present, was the consequence of his having done it. The Admiral, however, still retained too much influence over him to allow his resentment to show itself in any pointed neglect or exclusion of Anne from family parties, though this was probably felt by herself with some distress, more especially as she was now perfectly aware that her father's regard for Louisa Musgrove was at least equal to what he had previously pretended to think of her. He knew, however, that her situation must have its value in their eyes. Her being settled in Bath must have recommendations which his own single state could not; but, unluckily, they were recommendations which she would never feel. She was convinced that nothing but real regard for her sister could induce them to take upon themselves the charge of bringing up a girl like Miss Musgrove","It is easy to judge what must be done, for all that, if ever I get the girl again. As to this marriage, which, to the satisfaction of many, was now almost secured, it was at length agreed between the gentleman and lady of the house, that it should be celebrated on Sunday se'nnight following. A few hours before the ceremony was to take place, it became necessary that the clergyman who performed it should be assured of their being legally married, and accordingly each party separately underwent an examination before the magistrates of the district, when it appeared satisfactorily established, and the certificate granted which legalised their union. The wedding took place according to arrangement, but with little solemnity, the bride and bridegroom not being averse from saving expense on every possible occasion. After the business was over, Mr. Woodhouse, whose affections had prompted him to wish for this marriage more from the interest it would excited in Isabella's mind than from any apprehension of actual evil, was at last prevailed on to return to Hartfield, where, for nearly a fortnight afterwards, he continued to talk of Miss Woodhouse and her happiness incessantly, not only among his own family, but even to everybody that","It is easy to judge what must be the feeling of those who have been blessed with an excellent education, and who have had the means of improving their mental faculties by extensive reading and reflection; but how much more difficult to comprehend the situation of those who are destitute of these advantages! It is a melancholy truth that there are many in this world who are doomed to vulgar and unaspiring minds, without either the means or the inclination to rise above the common level. How grievously they must feel the want of intellectual cultivation and refinement! How oppressively dull and insipid must their lives be, compared to those who have been afforded every opportunity of developing their talents and attaining knowledge! And yet, how seldom do we pause to consider the miseries of such unfortunate beings! We move through life with so little sympathy for those around us, and so much absorbed in our own concerns, that we forget the sufferings of others, and leave them to struggle on in silence and solitude. But surely it behoves us to look with more compassion upon those who are unhappy, and to exert ourselves in their behalf. For if we are not careful, there may come a time"
"It is easy to judge what must be","Nathaniel Hawthorne","It is easy to judge what must be the effect of such a mode of education upon the characters and dispositions of young people. As all their time was given up to books, they grew fond of them; as they were seldom admitted into society, they became reserved and taciturn; and as they had no opportunity for the cultivation of social virtues, or for learning how to do each other good, they became cold-blooded, egotistic, selfish, and censorious. 'Our ancestors,' said one of my little scholars, who had read many histories of England, 'had not any love of liberty.' And it would have been well if these children could have found out that this want of freedom was due to the very system which they were pursuing in school. Yet, by this very means, their minds became strong, their memories excellent, and their knowledge extensive. They learned that it was of much greater consequence to know about things than to feel for them. If the schoolmasters had been allowed to carry out their own views, they would have formed the character of men for whom the world was not intended; but then the whole race of mankind would have been deficient in intellectual strength","It is easy to judge what must be the fate of all this poor unprotected property, and I cannot conceive anything less likely to improve the manners and morals of the children, than that it should lie around them in daily sight. They will be taught to consider it as belonging to them; and I suppose they will learn to expect it, without any sense of obligation to those by whom it was earned. I cannot conceive of anything worse for their education than to be reared in a house supplied from the spoils of the old age and death of their parents and grandparents. It is a large building, which, at the time of the French Revolution, housed many families, but is now occupied by only seven, sixteen, or eighteen in all, according as various rooms may be let furnished or unfurnished. In former times, the hotel was called by a long name, and this has been preserved for convenience sake: it is still called the Rue Jean Jacques Rousseau. It is not far from the Boulevard Beaumarchais and the Place Vendome. One enters the hotel by the main entrance, through a courtyard, and climbs two flights of stairs to the first floor. In the center of the courtyard","It is easy to judge what must be, my dear friend, but it is far more perilous to presume the manner in which it shall come to pass. Ah, the intricate web of fate that hangs like a shroud over our heads! How often have I pondered the mysteries of destiny, and how frequently have I found myself ensnared within its tangled threads. But fear not, for even as we struggle to comprehend the workings of fate, there lies within us a power to shape our own fortunes. 'Tis true, some fates are predetermined, their courses charted from the dawn of time; yet others bend and twist with each passing moment, offering us the chance to sway their trajectory. Consider the tale of my ancestors, who hailed from a distant land across the sea. Their lineage was marked by a curse, one that had been laid upon them by a sorceress in a fit of pique. For generations, they suffered under this dark burden, until at last a young maiden arose, possessed of a fierce determination to break the spell."
"It is easy to judge what must be","Mark Twain","It is easy to judge what must be the inevitable end of such a condition as this--that it will last, let us say, until ten o'clock. It would be useless and impracticable to try to put down the fire now; we could only extinguish individual lights with difficulty and laboriously, and leave the greater part unsuppressed and so destroy the building by fire as well as by water. But at one-half past nine every man in that room, even though he has never yet been within sight or sound of a fireman, will understand what a 'bucket brigade' means and will volunteer for service on the lines. The first two or three minutes it will seem strange to some of them to see their companions marching up and down the rooms, but before half an hour shall pass they will find themselves doing the same thing, and then they will be contented. And presently some of those who are thus engaged will say to others: 'Wouldn't it save time if all of us stopped to light our cigars? Don't you think it is getting pretty warm?' They will do it, too, for they have found out how useful buckets can be. There are no more lights; all is quietness and order once more","It is easy to judge what must be done when the people are in ignorance of their danger. We saw a party of eight or nine men and boys hauling a large piece of timber across a dangerous snowfield. One of them slipped down the precipice, where he hung suspended over the yawning gulf below. Two others started to work themselves, to try and pull him out, but the third began to shout for assistance. They succeeded in getting him out, and when they reached him he was unconscious, and they carried him off the field with difficulty, leaving his comrades to finish the job alone. The timbers were brought to the station, and from thence were taken away. There are, of course, frequent cases where men and animals have fallen through the snow into the glaciers below. If the fall be a short one, they may possibly escape with little injury. If not, there is nothing for it but death, and the next question is whether it shall be quick or slow. There have been more than one case where the rescue party have lost as many lives as they saved, in trying to extricate the fallen man or animal. Sometimes the man, in a fit of despair, sets fire to the woods surrounding him, that the rescuers may","It is easy to judge what must be But, dear reader, it is quite another thing to actually do it! Oh, the folly of mortal men! They will spend their days fretting and fuming over the affairs of others, yet when it comes time to apply those same principles to themselves, they are as lost as a ship in a stormy sea. It is a sad fate, indeed, to be so consumed by one's own shortcomings that one cannot see the forest for the trees. But fear not, my friend, for I have a solution for you! Why, I once knew a man named Jim, who was plagued by his own self-doubt. He would lay awake at night, staring at the ceiling and wondering if he was good enough, smart enough, or talented enough to succeed. But then, one day, he had an epiphany! He realized that the only way to truly know oneself is to embrace one's flaws and imperfections, and to use them as a springboard for greatness! You see, Jim, I told him, the only way to overcome your insecurities is to face them head-on, with a smile"
"It is easy to judge what must be","Oscar Wilde","It is easy to judge what must be done. But it is difficult to know what should be done, and harder still to find a way of getting it done. GEORGE ELLIOTT. BERNARD SHAW. The critic who attacks me for expressing my own views on modern literature has never read the book he reviews. A certain type of criticism is mere intellectual laziness. I have no sympathy with the person who is afraid to write because he may afterwards be found out. The man who writes in order to please people will pleasethem. And so the world is one vast nursery filled with imitative children, all playing with false fire, none knowing that their copy-books are not real books at all. WALTER PATER. I believe there exists a contagion of thought: one can acquire an idea from another, as well as an affection or a disease. V. SCHEMBELL. Criticism is only egotism corrected by exile. CHARLES LAMB. There is but one class of readers who care anything about critical opinions; that class does not exist. VIVIAN EYRE POWELL.","It is easy to judge what must be done when the case is fully understood. When you are angry and want to punish someone, then, and only then, you will understand human nature, and know how to act. But it is almost impossible for people with prejudices and feelings to do anything but injure those on whom they vent their wrath, unless they themselves happen to be injured in the process. One can always forgive people. What counts is one's ability to forgive oneself. For the person who cannot forgive himself is condemned to relive his mistakes perpetually until death ends them and perhaps gives him back some memory from which he may learn wisdom. 'Oh, I hate men!' she went on, 'except, except you. I think they are awful. Why don't you laugh?' he asked, smoothing out his tie. 'Because you can't make me. I don't like men, especially you. There, you hear me. I like you best of anybody, but I don't like you, you know. I hate you. There, I've said it again. I hate you.' 'Do you, really?' he cried, turning away with a smile and going to a window that opened out into the darkness","It is easy to judge what must be 'Ah, but my dear fellow, it is quite another matter to actually do so. For judgement, like beauty, is in the eye of the beholder. One man's verdict may be another's vice versa. And yet, we still insist on passing judgement upon each other, as if our opinions held some universal truth. But alas, dear reader, truth is far more elusive than any of us care to admit. It is a mirage that shimmers just beyond our reach, taunting us with its fleeting nature. So let us cease this futile exercise in judgment and instead embrace the maddening complexity of the human experience. For only then can we truly find our own path, and leave the rest to Fate.'"
"It is easy to judge what must be","Charlotte Perkins Gilman","It is easy to judge what must be done. But it will be hard to do! 'Well, and how did you like it?' Mrs. Pettigrew inquired. 'Very pleasant, I'm sure,' replied her sister; but she could not help thinking that if they had stayed a little longer, they might have been able to get more out of their hosts. They did stay long enough for the man-servant, who brought the lamp up from below, to ask Mr. Dykeman what time he would sit down to dinner. 'I don't know yet--about six, I suppose.' That was all there was said on the subject of meals, and afterward Dr. Bellair took her away with her to see the stables; Miss Elder went down to talk with Vivian at one end of the room; Mr. Hale found himself alone again with his hostess. 'You are enjoying yourself, I hope?' she asked. 'Yes, very much!' he answered, promptly. He was enjoying this new life immensely. The novelty of it was so great, the sense of freedom so exquisite. He was no longer obliged to hide himself as a fugitive; he had not been pursued and arrested","It is easy to judge what must be done, but very hard to do it. To the most powerful executive the most obstinate cases are difficult to decide and resolve. The best plans require many trials and experiments. Sometimes you have to put yourself in the same place over and over again, to see it differently. What looks hopeless may turn out otherwise if we persevere and wait patiently. There are occasions when you ought to let matters stand, not to push forward; other times when you should go straight ahead. There are some questions about which one can never be sure, and yet they must be settled. Sometimes it seems best to wait until later, but you must act, and act quickly, too, or else it may be too late. You must be prepared to face difficulties, be ready to accept defeat and learn wisdom from it. A child was born--of a noble stock, a long line of Kings and Queens of ancient Britons; whose names were inscribed on tablets of gold. At first the parents could not make up their minds whether they wanted a son or a daughter. Then they decided that, if a son, he should be called Edward, after King Edward the Second; if a daughter, Mary, after Queen Mary of Scotland. They named him 'Edward Mary,'","It is easy to judge what must be the face that the door must open on, when one has been living so long with a thing that one's whole existence has become a sort of protest against it. But now, as I sit here in this room, the walls of which are papered with the same yellow calico that covered the walls of my wedding chamber twenty years ago, I feel a strange sense of doubt creeping over me. For as I look about me, I begin to question whether the door that I have been so diligently unlocking will indeed lead to the freedom and independence that I have always dreamed of. Perhaps, after all, it is only another compartment in this vast and complex machine that we call life. Perhaps the key that I have been searching for all these years is nothing more than a cleverly disguised cog, fit snugly into the intricate mechanism of fate. And yet, even as I entertain these thoughts, I am compelled to press on, to keep unlocking the doors that lie before me, no matter how daunting they may seem. For it is only by continuing to search for the truth, no matter how elusive it may prove to be, that I can hope to find the freedom"
"It is easy to judge what must be","Virginia Woolf","It is easy to judge what must be done. But it will never come into your head how to do it, and I am glad it has not--for the time comes when one does not know; when, after one's own nature, one has no way of making things known--when there are moments that make us feel that we must give ourselves up entirely to suffering or doing.... And in those moments our only hope is that one man will help another; that a man who sees may reach out his hand and touch a man who feels; that one human soul may be joined with another--for perhaps it may help them both to live through this thing together.... Perhaps the touch may come from him whom you have seen walk across the lawn--the thin man with pale eyes and hands that tremble? It might have been better for her if she had been left alone--he said, standing under a tree and looking at the sky. He had come out of doors because he could not bear her cries any longer; but it was the strangest thing in the world: she cried, she sobbed, she shrieked with rage, yet it was all hopelessly sweet to him. He was going home now; but they were too late! He felt very tired, he thought;","It is easy to judge what must be done; so that now Clarissa was aware of the dust and confusion; saw a tablecloth; and Peter Walsh, and Sally Seton; and a large lady dressed in black, and Lady Bruton; and her husband in evening dress; and a dozen people she didn't know, and old Hugh Whitbread and Fräulein Daniels, and Miss Brush holding forth about the Elgin Marbles; and all her servants. She must ask Peter to stay to dinner. Oh dear! Why hadn't she sent her card after all to Millicent Bruton? So that now when her guests, who seemed suddenly to have grown bigger, had begun to talk, and Clarissa, wearing her new hat with its red ribbon and a bunch of violets, sat talking too, she caught sight of her watch, and it struck her that this was going rather fast. They ought to get away quickly; the room was full; the band was playing; and Sally Seton, coming over to where she sat, put her hands on Clarissa's lap. They were a comfort, she thought; and that, in a sense, was what it was about; and her husband, sitting opposite, looking at her","It is easy to judge what must be done, my dear, when one is not the one who must do it. Ah, the luxury of being able to observe from afar, to criticize without the weight of responsibility on one's shoulders! But let us not be so quick to judge, for we know full well that the path to success is never a straight line, but rather a winding road filled with detours and setbacks. And yet, how tempting it is to point the finger at those who stumble, to lay blame where blame is due. But consider this: each of us has our own unique struggles, our own battles to fight. And though another may seem to be making progress, or appearing to succeed, we cannot truly know the trials they face behind closed doors. So let us not be too quick to judge, my dear. Let us instead offer a helping hand, a word of encouragement. For in the end, it is not our place to decide what must be done, but rather to support and uplift one another as we all strive towards our individual goals. And who knows? Perhaps the path we take will intersect with another, and together we shall find a way forward."
"It is easy to judge what must be","Vernon Lee","It is easy to judge what must be done. But it will be better if you imagine yourself, as I have said, an actor in this tragedy, a sort of Medea with her Aegean children and Jason's armour, and say, 'I want my husband out of the way; but how can that be?' And you may then realise that if we are going to do anything at all we must act: there is no other way. The tragedian knows well enough that the scene he is playing would be infinitely worse were he not acting--were he merely spectator or victim. Indeed one may argue that it is only when we ourselves begin to behave like the characters in a play that they become interesting or important; when, for instance, we cease to admire Hamlet because, after all, there are plenty of people who don't act like him and have got on just as well. And it seems to me that the same applies to our imaginary tragedy and its actors. If, instead of judging from afar, we consider what must be done by each of them (not, as I said, by us), the whole thing loses interest. We know perfectly well that A is doing quite rightly what ought to be done;","It is easy to judge what must be done, but very difficult to do it. To the people of the north, a mere idea of beauty is foreign and unknown; and it has been said that beauty has no existence outside nature. With that word nature is meant what our eyes see at every step; it is the whole of the surrounding world. That world has no room, no place left for any other thing beside the material substances of which it is composed. What we call ideal, or spiritual, exists nowhere for them, since nowhere is it manifested in sensible things. They believe that nature includes everything external and tangible; and that a thing which does not belong to the tangible universe ought not to exist. This view, the logical consequence of their naturalism, is very prevalent among them. They have never been accustomed to consider beauty as an independent quality, but always as a manifestation of something else. Beauty appears to them as an adornment; the object which possesses the quality of beauty is looked upon simply as a means, the end being some other thing. The great, unhealthy and uncomfortable town on the hill, with its steep streets, its straggling and disorganised buildings","It is easy to judge what must be, when one's own desires and beliefs are in harmony with the situation at hand. But true wisdom lies in understanding the nuances of human nature, and in recognizing that which is beyond the reach of mortal comprehension. To truly know the heart of another, one must be able to penetrate the veil of appearance, and discern the hidden truth that lies within. And yet, even this is not always possible, for the mysteries of the human psyche are many and complex, and can only be fully understood through direct experience and intuitive insight. In the quiet hours of dawn, when the world slumbers on, and the mind is free to roam untrammeled, I find myself lost in thought, pondering the enigma of human existence. It is then that I am reminded of the words of the great philosopher, who wrote, 'The only true wisdom is in knowing you know nothing.' How profoundly true these words ring, for it is only by acknowledging our limitations, our ignorance of the vast and intricate tapestry of life, that we may begin to grasp the"
"It is easy to judge what must be","P. G. Wodehouse","It is easy to judge what must be done. I should have been better advised if I had kept my mind on the matter, but it was the other affair that worried me most at the moment. The thing is this: Ever since little Bingo got into trouble with a grocer's boy some months back, I have been feeling that we ought not to keep him under our own roof any longer. In fact, I have long seen there was only one thing for it--the reformatory. As the man said, 'The sooner you put it into their heads that life isn't going to be such an idyllic picnic as they thought when they first set foot in the world, the better.' But the reformatory has been shut for repairs or something ever since I knew old Bittlesham, and so far all the young Bingoes of England and Wales seem to have suffered from no great harm while they are being kept out of circulation during these inconveniences; but I have always felt that when things get going again and the Bingoes come pouring forth by hundreds, all unprepared, there will be a good deal of confusion. The last thing I wanted just now was another Bingo to muddle up my thinking, and so when George","It is easy to judge what must be done, but difficult to execute it. When you are standing at the window watching a storm, you begin to wonder how it started and how long it will continue. The thought comes: Perhaps it will die away and leave us tranquil. But no! The storm increases. What will happen to those poor people on the street? Will they be drenched? Or will the water be turned aside by some miracle? What about the cars that are being driven through the rain? Poor drivers, they may crash into trees and cause the loss of thousands of lives. And what is the end? What will happen in this house? Shall the rain knock at the door? Shall it penetrate the walls and flood the room in which you sit? I think I told you about his coming to dinner? 'Certainly, but--' 'Oh, forget it. It doesn't matter.' They drove through the drizzling rain for several miles without speaking. Then Nigel glanced quickly at his companion. 'What's the matter?' 'I was thinking about the other day.' 'The day when I nearly killed you?' 'That's right.' 'How did you know?'","It is easy to judge what must be the correct course of action in any given situation, my dear fellow, when one has the benefit of hindsight. Ah, but to foresee the future with any degree of accuracy is a feat that has long eluded the greatest minds of our time! Why, I recall a certain occasion when young Bertie Wooster found himself in quite the predicament, all thanks to his own unfortunate miscalculations. You see, Bertie had been convinced that a certain young lady was smitten with him, and so he had invited her to join him on a rather impromptu picnic in the park. But little did he know that her heart belonged to another, a rotter who had been playing a bit of a trick on poor Bertie. And so, there he was, spreading his blanket on the grass and pouring out his tea, all while blissfully unaware of the young woman's true affections. Oh, the looks on their faces when they finally revealed the truth! Why, it was almost as if they were both wearing masks, and Bertie was the only one who couldn't see through them. But never mind, my dear chap, for it all worked"
"It is easy to judge what must be","George Orwell","It is easy to judge what must be done. But it is not always so easy, or even possible, to know how the thing ought to be done. When a man has made a botch of his work you can see in an instant that he has put the wrong foot foremost; but if you ask him why, he will look at you as blankly as if you were speaking in Greek--for he doesn't know himself. This, then, was the difficulty that I had set myself. As the evening wore on and my brain got tired, so did my conscience. And before I knew where I was, I found myself in bed with my pillow still clutched between my arms and Dorothy sleeping peacefully by my side. But all night long there came over me again and again a sense of disquietude and vague dread; and when daylight finally broke I found that I could not shut my eyes any longer. I must get up, I said to myself; and yet, when I tried to move, I lay quite motionless with sheer nervousness. The first sound that reached me was that of the cocks crowing; and then the whole countryside began to stir itself, one by one, as though from behind a curtain.","It is easy to judge what must be done, but difficult to decide how to do it. At one time the revolutionaries of 1926 were called 'the Left Wing'; now they are called 'Trotskyists'. The word has been altered to suit the circumstances. In 1920 everyone was agreed that Leninism was the final and complete truth; now there is bitter disagreement about almost everything. In 1936, for instance, everyone said that Stalin was infallible; now people argue whether he is the saviour of Russia or a monster and a fool. There were a few things that everybody was sure of: for example, that imperialism is the root of all evil, and that socialism is the ultimate goal. Now these things are open to question. If the rulers of Soviet Russia can make such mistakes, surely it is our duty to disbelieve everything we read in the newspapers and to question all our traditional beliefs? And yet we go on accepting what we are told, not knowing why we accept it. Some of us, perhaps, have even convinced ourselves that we accept it on our own initiative. Our leaders have misled us; but we ourselves are to blame, because we have allowed ourselves","It is easy to judge what must be done, but it is quite another thing to actually do it. The Party's slogan, 'War is Peace,' had become an indelible part of the cultural landscape, repeated endlessly in propaganda broadcasts and print media. It was a phrase that had become synonymous with the state itself, its very mention conjuring images of strength, power, and security. But for those who lived under its shadow, it was nothing more than a cruel joke. As I walked through the city, I saw the signs of war everywhere: the crumbling buildings, the empty storefronts, the lines of people waiting for meager rations. And yet, the Party continued to assert that war was peace, that freedom was slavery, and that ignorance was strength. It was a madness that seemed to know no bounds, a willful blindness to reality that bordered on the criminal. But even as I raged against this monstrous deception, I knew that I was not alone. There were others like me, scattered throughout the city, who had seen beyond the Party's lies and were determined to fight back. They were the resistance, the hidden forces that had been working tirelessly"
